,Employee_ID,Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7
431,EID_10071,0,40.0,5,1,Lebanon,IT,Analytical,17.0,4,58,0,3,8.0,type3,3.0,3,-0.9612,0.7075,2.0,3,9,3
435,EID_16415,1,25.0,3,1,Franklin,IT,Directive,6.0,1,21,0,2,9.0,type2,1.0,5,0.7516,0.7075,,2,6,3
438,EID_4261,1,58.0,3,1,Washington,IT,Directive,32.0,3,44,2,2,8.0,type4,4.0,3,-1.8176,-2.7762,1.0,2,8,3
441,EID_22705,0,32.0,4,1,Springfield,IT,Behavioral,3.0,1,59,1,3,8.0,type0,4.0,4,0.7516,-0.4537,2.0,4,5,4
443,EID_1311,0,65.0,4,1,Franklin,IT,Conceptual,26.0,1,57,0,2,7.0,type3,1.0,4,-0.1048,1.8688,2.0,4,8,2
444,EID_15683,1,,4,1,Springfield,IT,Analytical,6.0,3,57,1,3,8.0,type2,3.0,3,-0.9612,-0.4537,2.0,2,9,3
445,EID_12031,1,40.0,3,1,Franklin,IT,Behavioral,12.0,3,48,0,3,8.0,type2,2.0,3,0.7516,0.7075,1.0,3,7,3
446,EID_11934,0,40.0,1,1,Springfield,IT,Behavioral,13.0,3,47,0,3,8.0,type1,1.0,3,0.7516,-0.4537,1.0,2,8,3
448,EID_21147,1,27.0,3,1,Franklin,IT,Directive,5.0,2,28,1,1,8.0,type2,1.0,3,1.6081,0.7075,2.0,1,8,3
449,EID_18298,0,22.0,3,0,Springfield,IT,Behavioral,3.0,3,59,1,3,7.0,type3,3.0,1,-0.1048,-0.4537,1.0,2,6,3
451,EID_21639,0,37.0,3,1,Lebanon,IT,Conceptual,14.0,4,20,0,1,8.0,type3,1.0,4,-0.1048,0.7075,2.0,1,7,4
455,EID_21908,0,54.0,3,1,Franklin,IT,Directive,18.0,2,27,2,1,7.0,type2,1.0,4,-0.1048,-0.4537,2.0,3,9,3
462,EID_24883,1,30.0,3,1,Franklin,IT,Behavioral,8.0,3,44,1,4,8.0,type2,3.0,1,,0.7075,2.0,3,7,5
463,EID_15661,1,23.0,4,1,Franklin,IT,Behavioral,4.0,3,38,1,5,7.0,type2,1.0,3,0.7516,-0.4537,2.0,3,7,3
464,EID_1178,1,57.0,1,0,Clinton,IT,Directive,19.0,4,55,1,3,8.0,type4,2.0,3,-0.9612,-0.4537,3.0,2,5,1
466,EID_17651,1,21.0,3,1,Lebanon,IT,Conceptual,2.0,2,68,1,2,7.0,type2,1.0,3,,0.7075,2.0,3,6,3
467,EID_8005,0,50.0,3,1,Franklin,IT,Behavioral,16.0,4,36,2,3,9.0,type4,1.0,5,1.6081,0.7075,2.0,2,6,4
468,EID_17222,0,21.0,3,1,Springfield,IT,Behavioral,2.0,1,60,1,3,7.0,type2,1.0,3,0.7516,-0.4537,3.0,2,8,4
469,EID_6344,0,48.0,4,0,Springfield,IT,Directive,10.0,1,63,0,3,9.0,type2,2.0,4,-0.1048,0.7075,,3,7,4
472,EID_13287,0,27.0,3,1,Lebanon,IT,Directive,5.0,3,26,0,3,7.0,type2,3.0,4,-0.1048,-1.615,2.0,4,8,3
475,EID_10377,1,35.0,4,1,Springfield,IT,Analytical,10.0,4,55,0,4,8.0,type2,4.0,3,-1.8176,-0.4537,1.0,5,8,4
477,EID_25798,0,25.0,4,0,Springfield,IT,Analytical,6.0,1,22,1,2,7.0,type2,1.0,3,-0.1048,0.7075,2.0,4,5,4
478,EID_22476,1,45.0,4,1,Franklin,IT,Behavioral,7.0,2,43,1,5,8.0,type2,3.0,3,-0.1048,0.7075,2.0,3,8,3
479,EID_9406,1,47.0,4,1,Franklin,IT,Analytical,21.0,4,25,0,4,7.0,type2,4.0,3,1.6081,-0.4537,2.0,4,5,2
485,EID_25369,1,30.0,3,1,Franklin,IT,Behavioral,7.0,4,56,1,1,8.0,type3,3.0,2,-0.1048,1.8688,2.0,1,8,3
486,EID_16633,1,28.0,3,0,Franklin,IT,Behavioral,6.0,4,23,0,2,7.0,type2,3.0,3,0.7516,-1.615,3.0,3,7,3
487,EID_9984,1,,3,0,Franklin,IT,Conceptual,4.0,1,37,1,3,8.0,type3,4.0,3,1.6081,0.7075,,2,7,3
490,EID_13942,1,26.0,4,0,Washington,IT,Behavioral,2.0,1,66,0,2,8.0,type3,1.0,3,0.7516,-0.4537,2.0,2,7,3
493,EID_5869,1,54.0,5,1,Clinton,IT,Conceptual,20.0,4,49,2,1,7.0,type2,4.0,2,-0.1048,0.7075,2.0,5,9,4
500,EID_20365,0,22.0,2,1,Lebanon,IT,Behavioral,3.0,2,36,1,3,7.0,type2,1.0,3,-1.8176,0.7075,2.0,2,8,3
502,EID_24922,1,47.0,3,1,Springfield,IT,Conceptual,13.0,3,53,1,3,7.0,type2,1.0,3,-0.1048,-0.4537,,4,6,3
507,EID_1162,1,61.0,4,1,Washington,IT,Conceptual,26.0,4,66,0,2,8.0,type3,4.0,4,0.7516,-0.4537,2.0,3,8,5
508,EID_2265,1,58.0,3,0,Lebanon,IT,Analytical,21.0,4,41,1,3,7.0,type2,2.0,3,0.7516,-0.4537,2.0,2,9,3
510,EID_7992,0,41.0,2,0,Springfield,IT,Behavioral,13.0,4,31,1,3,7.0,type3,3.0,5,0.7516,-0.4537,2.0,3,8,2
513,EID_20408,0,19.0,5,0,Franklin,IT,Behavioral,0.0,0,65,1,4,9.0,type3,1.0,3,-0.1048,-0.4537,2.0,4,6,2
515,EID_24028,0,54.0,4,1,Springfield,IT,Behavioral,27.0,2,22,0,2,8.0,type2,1.0,4,0.7516,-0.4537,2.0,2,8,2
516,EID_4079,1,49.0,5,1,Lebanon,IT,Behavioral,17.0,3,22,1,3,7.0,type2,4.0,3,-0.1048,0.7075,1.0,4,6,3
519,EID_6909,0,,4,1,Springfield,IT,Analytical,23.0,3,36,0,3,9.0,type2,2.0,4,-0.1048,0.7075,2.0,3,8,3
522,EID_10398,1,35.0,3,0,Lebanon,IT,Analytical,12.0,4,70,1,3,9.0,type2,3.0,3,-0.1048,1.8688,2.0,3,5,2
523,EID_6145,0,53.0,5,0,Springfield,IT,Analytical,24.0,4,54,0,3,8.0,type2,3.0,3,-1.8176,0.7075,3.0,3,7,5
526,EID_20575,1,32.0,3,1,Franklin,IT,Behavioral,6.0,1,41,0,3,8.0,type2,4.0,2,,0.7075,2.0,3,8,4
529,EID_8539,0,65.0,4,1,Springfield,IT,Analytical,29.0,2,72,2,1,8.0,type2,1.0,2,-1.8176,-0.4537,2.0,2,7,4
530,EID_7374,1,65.0,3,0,Washington,IT,Directive,33.0,2,60,1,3,7.0,type2,2.0,3,0.7516,0.7075,3.0,2,8,2
534,EID_1385,1,56.0,3,1,Springfield,IT,Analytical,31.0,1,74,2,4,8.0,type2,5.0,3,0.7516,-0.4537,2.0,1,8,3
538,EID_21138,1,60.0,4,1,Franklin,IT,Directive,28.0,3,43,0,5,8.0,type3,2.0,4,0.7516,-0.4537,2.0,3,5,2
539,EID_24399,1,28.0,3,0,Springfield,IT,Behavioral,5.0,4,20,0,4,8.0,type3,4.0,1,0.7516,-1.615,2.0,3,8,2
540,EID_22249,1,19.0,1,1,Springfield,IT,Analytical,0.0,0,32,0,3,9.0,type3,3.0,4,0.7516,-0.4537,2.0,4,6,5
542,EID_3512,0,50.0,4,1,Franklin,IT,Behavioral,28.0,2,25,1,3,8.0,type2,4.0,3,-0.1048,-0.4537,2.0,3,7,4
546,EID_11186,1,33.0,4,0,Franklin,IT,Conceptual,4.0,3,47,0,3,8.0,type2,1.0,4,-0.9612,-1.615,2.0,1,9,3
549,EID_3330,1,59.0,3,0,Springfield,IT,Behavioral,36.0,4,23,1,2,10.0,type3,4.0,3,1.6081,0.7075,1.0,2,5,3
550,EID_15007,0,24.0,2,1,Lebanon,IT,Directive,5.0,3,59,1,2,9.0,type3,2.0,2,0.7516,0.7075,2.0,3,7,2
552,EID_13717,0,,3,1,Springfield,IT,Directive,,2,72,1,4,8.0,type3,2.0,1,0.7516,-1.615,3.0,4,5,3
558,EID_15655,0,23.0,5,0,Springfield,IT,Behavioral,4.0,4,45,0,5,9.0,type3,4.0,3,0.7516,0.7075,1.0,2,5,3
560,EID_5420,1,50.0,4,0,Washington,IT,Behavioral,11.0,1,64,0,5,7.0,type2,1.0,4,-0.9612,0.7075,2.0,3,8,2
564,EID_20203,0,26.0,3,1,Springfield,IT,Conceptual,3.0,2,37,0,2,7.0,type2,3.0,3,0.7516,0.7075,2.0,2,7,4
565,EID_25191,0,22.0,3,1,Lebanon,IT,Analytical,3.0,3,22,1,3,8.0,type2,3.0,3,-1.8176,-0.4537,1.0,4,8,4
566,EID_25024,0,35.0,1,0,Lebanon,IT,Conceptual,12.0,3,61,1,2,9.0,type2,1.0,3,-0.9612,-2.7762,1.0,4,8,3
567,EID_12041,1,35.0,3,1,Franklin,IT,Behavioral,8.0,2,38,1,5,7.0,type2,4.0,4,-0.1048,-0.4537,2.0,3,8,3
568,EID_16088,1,23.0,3,1,Franklin,IT,Analytical,4.0,4,40,1,3,8.0,type3,1.0,2,0.7516,-2.7762,1.0,3,5,4
571,EID_22456,0,19.0,3,0,Washington,IT,Analytical,,0,60,1,4,10.0,type2,4.0,4,0.7516,0.7075,2.0,3,6,4
572,EID_23453,1,32.0,2,1,Franklin,IT,Behavioral,7.0,4,60,2,4,8.0,type3,2.0,3,-0.1048,0.7075,2.0,5,6,3
574,EID_20937,1,,4,1,Franklin,IT,Behavioral,3.0,3,68,2,2,9.0,type3,4.0,3,-0.9612,-1.615,2.0,2,6,3
576,EID_19685,1,37.0,4,0,Springfield,IT,Behavioral,12.0,3,65,0,3,8.0,type3,3.0,5,-0.9612,0.7075,2.0,2,8,3
577,EID_25681,0,25.0,4,0,Springfield,IT,Analytical,6.0,4,57,1,2,8.0,type2,2.0,1,-0.9612,-0.4537,2.0,3,8,5
578,EID_4284,1,49.0,4,1,Washington,IT,Behavioral,15.0,2,50,2,4,9.0,type2,4.0,3,0.7516,0.7075,3.0,1,8,2
581,EID_23600,1,37.0,3,1,Lebanon,IT,Directive,13.0,1,50,1,3,8.0,type2,3.0,3,-0.9612,-0.4537,2.0,2,7,3
582,EID_12674,0,33.0,3,0,Franklin,IT,Behavioral,5.0,3,44,0,5,8.0,type3,4.0,3,-0.1048,-0.4537,3.0,3,5,2
583,EID_18063,0,24.0,4,1,Springfield,IT,Analytical,5.0,1,23,0,1,8.0,type3,1.0,4,0.7516,-0.4537,2.0,5,8,4
588,EID_14741,1,25.0,4,1,Lebanon,IT,Analytical,6.0,1,23,2,1,8.0,type4,3.0,3,0.7516,-1.615,2.0,3,8,2
589,EID_18266,0,21.0,5,0,Franklin,IT,Conceptual,2.0,2,49,0,2,8.0,type3,3.0,4,0.7516,-0.4537,2.0,3,8,2
591,EID_15785,0,30.0,4,0,Lebanon,IT,Analytical,7.0,2,32,1,1,8.0,type2,2.0,5,0.7516,0.7075,2.0,2,8,4
595,EID_18848,0,22.0,2,1,Washington,IT,Analytical,3.0,3,31,1,3,8.0,type3,3.0,3,,-2.7762,2.0,2,7,3
599,EID_11623,1,36.0,4,1,Springfield,IT,Conceptual,9.0,3,33,0,3,7.0,type2,2.0,3,0.7516,0.7075,2.0,2,6,3
603,EID_17190,1,21.0,2,1,Franklin,IT,Conceptual,2.0,2,31,0,4,10.0,type3,1.0,2,-0.1048,-0.4537,2.0,2,7,3
604,EID_1378,1,61.0,4,1,Springfield,IT,Conceptual,26.0,4,70,1,5,9.0,type3,1.0,2,0.7516,-1.615,2.0,3,8,3
606,EID_25240,1,31.0,3,0,Lebanon,IT,Directive,2.0,2,43,1,2,7.0,type3,3.0,3,-1.8176,0.7075,2.0,2,6,3
609,EID_13426,0,36.0,3,1,Washington,IT,Behavioral,13.0,4,72,0,1,10.0,type2,1.0,3,,0.7075,2.0,2,7,4
610,EID_5607,1,63.0,3,1,Franklin,IT,Behavioral,35.0,2,74,1,2,9.0,type2,3.0,3,-1.8176,-0.4537,1.0,3,8,3
611,EID_22353,0,32.0,3,1,Washington,IT,Analytical,4.0,2,46,2,4,8.0,type3,1.0,3,-1.8176,0.7075,2.0,2,8,4
612,EID_3432,1,59.0,4,1,Springfield,IT,Conceptual,37.0,2,63,1,1,9.0,type2,3.0,4,0.7516,0.7075,2.0,3,8,4
613,EID_13544,1,36.0,1,1,Springfield,IT,Conceptual,13.0,1,52,1,2,7.0,type3,1.0,3,-0.1048,0.7075,1.0,3,9,5
614,EID_9014,0,38.0,4,0,Franklin,IT,Behavioral,15.0,2,53,0,2,8.0,type2,1.0,3,-0.1048,-0.4537,2.0,3,5,3
615,EID_19427,1,52.0,5,1,Springfield,IT,Analytical,21.0,3,30,0,3,10.0,type3,1.0,3,1.6081,-0.4537,1.0,1,6,3
617,EID_25611,1,32.0,2,1,Springfield,IT,Conceptual,10.0,2,51,0,4,8.0,type2,1.0,3,-0.1048,-0.4537,2.0,4,5,4
619,EID_18620,0,23.0,3,1,Franklin,IT,Directive,4.0,2,48,1,3,7.0,type3,2.0,5,-0.1048,-0.4537,2.0,3,8,3
621,EID_15448,0,24.0,4,1,Springfield,IT,Behavioral,5.0,2,53,1,3,9.0,type2,3.0,3,-1.8176,-2.7762,2.0,3,8,3
631,EID_9961,0,46.0,3,0,Springfield,IT,Behavioral,10.0,3,66,0,4,8.0,type2,2.0,3,-0.9612,0.7075,1.0,3,8,3
632,EID_23386,0,28.0,3,1,Lebanon,IT,Conceptual,5.0,4,69,0,2,9.0,type3,1.0,4,-0.1048,1.8688,1.0,3,5,1
633,EID_16387,1,28.0,3,1,Lebanon,IT,Directive,4.0,4,42,1,1,7.0,type2,4.0,3,,0.7075,1.0,3,7,3
634,EID_2603,1,57.0,5,1,Springfield,IT,Conceptual,19.0,1,42,1,2,8.0,type2,3.0,4,0.7516,-0.4537,,3,5,3
635,EID_13056,0,28.0,4,1,Lebanon,IT,Analytical,4.0,1,69,1,5,7.0,type2,4.0,1,-0.1048,-0.4537,1.0,3,8,3
639,EID_7830,0,50.0,2,0,Clinton,IT,Conceptual,14.0,4,42,0,3,9.0,type2,1.0,3,-1.8176,0.7075,2.0,2,9,3
640,EID_10684,1,35.0,4,0,Washington,IT,Analytical,8.0,3,45,0,2,9.0,type2,3.0,2,-0.1048,0.7075,2.0,4,6,3
643,EID_22699,1,19.0,3,1,Springfield,IT,Conceptual,,0,50,1,3,8.0,type2,2.0,4,-0.1048,-0.4537,3.0,3,8,3
646,EID_25347,1,35.0,3,1,Clinton,IT,Analytical,10.0,1,34,1,3,8.0,type3,3.0,4,0.7516,0.7075,2.0,4,6,3
649,EID_9281,0,61.0,4,1,Lebanon,IT,Analytical,37.0,1,43,2,2,8.0,type2,2.0,3,-0.1048,0.7075,2.0,2,8,4
651,EID_25403,0,35.0,3,1,Washington,IT,Behavioral,6.0,1,34,0,3,8.0,type0,5.0,4,-0.1048,-2.7762,2.0,2,9,3
652,EID_7323,1,,3,1,Washington,IT,Behavioral,16.0,2,66,1,2,10.0,type2,1.0,4,-0.1048,-0.4537,3.0,3,6,3
653,EID_13777,0,30.0,5,0,Lebanon,IT,Behavioral,6.0,4,30,1,4,9.0,type3,4.0,3,0.7516,-0.4537,,2,5,2
655,EID_18932,0,21.0,2,1,Lebanon,IT,Directive,2.0,2,46,2,2,8.0,type2,1.0,4,-0.1048,-0.4537,2.0,4,7,3
659,EID_13459,1,27.0,3,0,Springfield,IT,Behavioral,3.0,1,64,0,3,8.0,type2,2.0,3,-0.1048,-0.4537,2.0,2,6,3
662,EID_8102,1,44.0,3,0,Washington,IT,Directive,16.0,1,68,1,3,7.0,type3,3.0,1,0.7516,1.8688,2.0,4,8,2
665,EID_10746,1,43.0,1,0,Springfield,IT,Directive,13.0,3,29,1,3,8.0,type2,2.0,2,0.7516,0.7075,2.0,3,7,3
667,EID_12486,1,39.0,3,0,Lebanon,IT,Analytical,11.0,4,20,1,2,8.0,type3,1.0,4,-0.1048,-1.615,1.0,3,9,3
669,EID_18268,1,22.0,3,1,Lebanon,IT,Behavioral,3.0,3,53,0,4,8.0,type2,3.0,3,0.7516,-0.4537,2.0,2,6,3
671,EID_11722,0,41.0,4,0,Lebanon,IT,Directive,12.0,4,74,1,3,9.0,type2,1.0,3,-0.1048,0.7075,2.0,3,7,4
672,EID_18542,0,23.0,4,1,Lebanon,IT,Analytical,4.0,1,33,0,4,10.0,type3,3.0,4,0.7516,-0.4537,2.0,3,6,2
674,EID_24695,1,47.0,4,1,Springfield,IT,Analytical,20.0,4,37,1,2,8.0,type2,1.0,4,-0.9612,-0.4537,,4,9,5
675,EID_15852,0,29.0,3,1,Franklin,IT,Analytical,6.0,1,35,0,3,8.0,type2,2.0,3,1.6081,-0.4537,2.0,2,5,3
679,EID_14326,0,27.0,5,0,Washington,IT,Conceptual,5.0,2,45,2,5,7.0,type2,3.0,3,-1.8176,-0.4537,3.0,5,5,3
680,EID_18727,1,19.0,3,1,Franklin,IT,Conceptual,0.0,0,43,1,2,9.0,type3,3.0,4,-0.1048,0.7075,3.0,4,8,4
681,EID_15976,0,26.0,4,1,Springfield,IT,Behavioral,2.0,2,22,1,1,7.0,type2,1.0,3,,-2.7762,2.0,2,8,5
685,EID_9254,1,58.0,5,1,Springfield,IT,Analytical,31.0,2,51,0,3,7.0,type4,3.0,3,,-1.615,2.0,2,8,3
686,EID_17566,0,23.0,4,1,Franklin,IT,Conceptual,4.0,3,57,1,2,7.0,type3,2.0,3,-0.9612,0.7075,2.0,3,6,2
689,EID_8868,1,43.0,2,1,Franklin,IT,Directive,21.0,2,73,1,5,8.0,type3,1.0,1,-0.9612,0.7075,,4,8,3
693,EID_10702,1,39.0,1,0,Springfield,IT,Behavioral,10.0,3,59,2,4,7.0,type2,1.0,3,-0.1048,1.8688,2.0,3,7,4
695,EID_21642,1,27.0,1,1,Lebanon,IT,Conceptual,3.0,3,71,2,2,9.0,type2,1.0,1,0.7516,-0.4537,2.0,4,8,3
698,EID_7769,1,41.0,4,0,Lebanon,IT,Behavioral,7.0,2,29,1,4,7.0,type2,2.0,3,-0.1048,-2.7762,3.0,2,8,5
699,EID_20400,1,54.0,1,1,Washington,IT,Behavioral,28.0,4,49,1,5,7.0,type2,3.0,2,0.7516,-0.4537,2.0,3,7,4
701,EID_13311,1,27.0,4,1,Lebanon,IT,Conceptual,5.0,2,58,1,5,8.0,type3,2.0,3,,-0.4537,2.0,1,6,3
702,EID_19845,1,52.0,5,1,Washington,IT,Behavioral,15.0,3,36,1,5,8.0,type2,2.0,3,-1.8176,-1.615,2.0,3,7,4
703,EID_7348,0,46.0,3,1,Springfield,IT,Behavioral,,3,51,1,2,8.0,type2,2.0,1,-1.8176,-0.4537,1.0,3,8,5
704,EID_6877,1,43.0,3,0,Franklin,IT,Analytical,8.0,4,74,1,2,7.0,type2,1.0,2,1.6081,-1.615,2.0,2,8,5
706,EID_19144,1,19.0,4,1,Springfield,IT,Behavioral,0.0,0,50,1,4,10.0,type2,4.0,2,-1.8176,-0.4537,1.0,1,8,3
708,EID_2795,1,56.0,2,1,Washington,IT,Directive,,2,63,0,2,7.0,type1,2.0,4,-1.8176,-0.4537,2.0,2,9,3
710,EID_8572,0,47.0,5,1,Lebanon,IT,Directive,19.0,2,63,0,2,7.0,type2,1.0,3,-1.8176,-0.4537,2.0,3,7,3
713,EID_2043,0,55.0,4,0,Washington,IT,Analytical,20.0,2,35,1,3,10.0,type3,3.0,3,-1.8176,-1.615,2.0,3,6,3
715,EID_3863,0,49.0,1,1,Lebanon,IT,Conceptual,21.0,4,52,1,2,7.0,type2,3.0,3,,1.8688,3.0,3,7,4
721,EID_1056,0,65.0,5,1,Lebanon,IT,Analytical,30.0,2,49,1,1,7.0,type2,1.0,3,-1.8176,0.7075,2.0,2,7,5
723,EID_8807,1,45.0,3,1,Lebanon,IT,Behavioral,17.0,4,58,1,4,9.0,type2,4.0,3,0.7516,-0.4537,2.0,5,8,3
724,EID_10122,0,40.0,3,1,Lebanon,IT,Behavioral,13.0,3,27,1,4,7.0,type2,1.0,5,-1.8176,0.7075,2.0,1,7,3
725,EID_5840,0,49.0,4,0,Springfield,IT,Directive,25.0,2,54,1,1,8.0,type3,1.0,4,0.7516,0.7075,3.0,2,5,4
726,EID_21118,1,45.0,4,0,Lebanon,IT,Conceptual,9.0,4,36,2,2,7.0,type3,1.0,3,-0.1048,-0.4537,2.0,4,8,5
727,EID_23361,0,30.0,4,0,Washington,IT,Conceptual,8.0,4,62,2,3,7.0,type2,4.0,4,-0.9612,0.7075,2.0,4,9,3
730,EID_16684,0,28.0,3,1,Lebanon,IT,Directive,5.0,1,28,1,5,7.0,type2,4.0,3,-0.9612,1.8688,1.0,4,7,4
731,EID_22520,1,28.0,4,0,Springfield,IT,Directive,4.0,3,51,0,4,8.0,type2,2.0,3,-0.1048,1.8688,3.0,3,9,2
733,EID_7832,1,41.0,3,1,Lebanon,IT,Behavioral,19.0,1,45,0,2,7.0,type3,3.0,3,0.7516,-0.4537,2.0,2,6,3
737,EID_2755,1,61.0,1,1,Washington,IT,Behavioral,34.0,4,59,0,3,8.0,type2,2.0,3,0.7516,0.7075,2.0,1,9,3
738,EID_23671,1,52.0,3,1,Springfield,IT,Conceptual,14.0,2,64,1,2,8.0,type3,4.0,3,-0.1048,-0.4537,3.0,2,6,4
739,EID_13401,0,27.0,3,1,Washington,IT,Behavioral,3.0,3,22,2,3,8.0,type3,3.0,4,-1.8176,-0.4537,1.0,3,8,3
740,EID_22617,1,60.0,3,1,Lebanon,IT,Conceptual,21.0,3,58,0,3,8.0,type3,4.0,3,1.6081,-0.4537,2.0,3,9,3
741,EID_23590,1,60.0,3,1,Springfield,IT,Directive,35.0,4,48,1,1,8.0,type2,1.0,2,-1.8176,-0.4537,2.0,2,6,2
742,EID_11131,0,37.0,4,1,Franklin,IT,Behavioral,14.0,3,57,0,2,9.0,type2,4.0,3,,-0.4537,2.0,4,5,3
745,EID_17889,0,24.0,4,1,Franklin,IT,Analytical,5.0,1,28,0,5,10.0,type2,3.0,3,-0.1048,-0.4537,2.0,2,8,3
746,EID_8205,0,59.0,4,1,Springfield,IT,Behavioral,20.0,1,34,0,3,8.0,type2,2.0,2,0.7516,-0.4537,2.0,4,9,4
750,EID_4000,1,,4,0,Lebanon,IT,Directive,30.0,1,32,1,2,8.0,type3,2.0,1,-0.9612,-0.4537,2.0,4,9,3
751,EID_6998,0,52.0,4,1,Springfield,IT,Directive,19.0,4,51,1,3,7.0,type2,2.0,4,-0.1048,-0.4537,2.0,3,8,4
752,EID_3582,0,65.0,4,0,Washington,IT,Behavioral,33.0,1,28,1,3,8.0,type3,3.0,3,-0.1048,1.8688,2.0,3,8,2
753,EID_3987,1,58.0,5,0,Lebanon,IT,Directive,30.0,4,28,1,5,8.0,type2,3.0,2,1.6081,-0.4537,2.0,2,9,2
754,EID_9495,0,38.0,3,0,Lebanon,IT,Analytical,9.0,4,29,1,4,8.0,type3,3.0,3,-0.9612,1.8688,,2,8,3
755,EID_4745,0,57.0,2,0,Lebanon,IT,Conceptual,25.0,4,64,1,3,7.0,type3,4.0,3,-1.8176,0.7075,,5,5,2
756,EID_2682,1,53.0,2,1,Washington,IT,Conceptual,22.0,3,34,0,4,8.0,type2,3.0,3,0.7516,-1.615,2.0,2,6,3
758,EID_1242,0,60.0,3,1,Lebanon,IT,Directive,29.0,2,53,2,1,7.0,type1,1.0,3,-0.1048,0.7075,2.0,2,8,3
759,EID_10336,1,40.0,2,0,Washington,IT,Conceptual,16.0,1,59,0,1,9.0,type3,3.0,3,-0.9612,0.7075,2.0,4,8,3
763,EID_21720,1,22.0,3,1,Springfield,IT,Directive,3.0,3,22,0,4,10.0,type3,4.0,3,0.7516,-0.4537,2.0,2,5,3
766,EID_3197,1,60.0,4,0,Lebanon,IT,Behavioral,36.0,3,21,0,2,8.0,type3,3.0,3,-0.1048,-0.4537,,3,8,3
769,EID_5819,1,49.0,2,0,Springfield,IT,Analytical,10.0,1,27,1,3,9.0,type2,3.0,3,-0.1048,-0.4537,2.0,4,8,5
774,EID_16237,1,23.0,3,0,Franklin,IT,Behavioral,4.0,4,65,1,3,7.0,type3,2.0,2,-1.8176,-0.4537,2.0,3,6,3
775,EID_12824,0,33.0,3,1,Clinton,IT,Behavioral,4.0,1,24,1,3,8.0,type2,4.0,3,0.7516,-0.4537,3.0,3,7,3
781,EID_2332,1,58.0,3,1,Springfield,IT,Conceptual,21.0,1,69,1,3,7.0,type0,4.0,1,-1.8176,-0.4537,2.0,3,8,3
784,EID_10225,0,,3,1,Springfield,IT,Analytical,8.0,4,41,0,3,8.0,type2,1.0,3,0.7516,-2.7762,2.0,3,7,3
786,EID_19754,1,,3,1,Franklin,IT,Behavioral,10.0,3,56,1,2,10.0,type2,2.0,3,-0.9612,0.7075,3.0,1,6,3
787,EID_10859,1,34.0,3,1,Springfield,IT,Directive,5.0,3,62,1,1,9.0,type2,1.0,3,0.7516,0.7075,2.0,2,8,4
788,EID_22823,1,60.0,3,1,Franklin,IT,Behavioral,31.0,1,66,1,3,9.0,type2,3.0,3,-0.9612,1.8688,1.0,4,8,5
790,EID_22681,1,47.0,4,1,Franklin,IT,Behavioral,10.0,3,65,0,1,8.0,type3,2.0,3,1.6081,-0.4537,2.0,5,7,3
793,EID_13997,0,35.0,1,1,Lebanon,IT,Behavioral,13.0,3,50,1,3,7.0,type2,1.0,3,0.7516,-0.4537,2.0,2,8,4
795,EID_25004,1,25.0,4,1,Washington,IT,Behavioral,6.0,3,24,1,2,8.0,type2,2.0,3,0.7516,-0.4537,1.0,3,8,3
797,EID_23406,0,25.0,3,0,Springfield,IT,Directive,6.0,2,46,0,2,8.0,type2,1.0,4,-1.8176,-2.7762,2.0,2,5,2
800,EID_24748,1,37.0,1,1,Clinton,IT,Directive,11.0,2,30,0,4,7.0,type2,3.0,3,0.7516,-0.4537,2.0,2,8,2
802,EID_25408,0,25.0,3,1,Franklin,IT,Behavioral,6.0,3,72,1,2,7.0,type2,3.0,3,-0.1048,-0.4537,2.0,2,6,3
804,EID_23627,1,28.0,4,1,Springfield,IT,Analytical,5.0,2,20,0,3,9.0,type2,3.0,3,1.6081,-0.4537,3.0,3,8,3
806,EID_20792,1,37.0,4,1,Washington,IT,Analytical,15.0,4,29,0,4,8.0,type2,4.0,3,-0.9612,0.7075,1.0,1,8,5
810,EID_3303,0,55.0,4,0,Springfield,IT,Behavioral,29.0,3,59,1,4,8.0,type2,4.0,1,-0.1048,1.8688,2.0,3,8,2
814,EID_13101,0,28.0,4,1,Lebanon,IT,Analytical,6.0,2,54,2,1,10.0,type3,3.0,1,-0.1048,-0.4537,2.0,4,9,3
815,EID_20514,0,31.0,4,1,Franklin,IT,Behavioral,4.0,2,35,1,2,7.0,type4,3.0,3,0.7516,1.8688,,1,8,5
818,EID_1815,1,55.0,3,1,Springfield,IT,Analytical,26.0,2,27,1,3,8.0,type3,1.0,4,-0.1048,-0.4537,2.0,3,7,3
819,EID_18205,1,22.0,1,0,Lebanon,IT,Directive,3.0,3,28,1,3,9.0,type2,4.0,1,,1.8688,1.0,3,7,3
820,EID_21650,0,45.0,4,1,Franklin,IT,Directive,9.0,2,31,2,5,7.0,type3,2.0,3,-1.8176,1.8688,1.0,3,6,4
822,EID_23225,1,54.0,3,1,Washington,IT,Conceptual,20.0,4,49,1,1,7.0,type2,1.0,3,-0.9612,-0.4537,2.0,4,6,4
825,EID_2044,0,64.0,3,0,Lebanon,IT,Behavioral,41.0,2,52,1,5,8.0,type3,1.0,3,1.6081,-1.615,2.0,2,7,3
